cate_1_name,cate_2_name,cate_3_name,city_name,comment_cnt,location_id,per_pay,score,shop_id,shop_level
美食,快餐,西式快餐,上海,4,639,9,3,37,2
超市便利店,便利店,,广州,0,36,2,3,38,0
美食,休闲食品,生鲜水果,上海,6,205,9,2,39,0
超市便利店,超市,,湖州,NaN,1125,18,NaN,40,0
美食,快餐,西式快餐,上海,9,1054,10,3,41,2
美食,休闲茶饮,奶茶,武汉,2,198,1,3,42,0
美食,快餐,西式快餐,上饶,3,102,15,2,43,2
美食,火锅,川味/重庆火锅,郑州,5,1088,20,4,44,2
美食,中餐,川菜,宁波,0,436,16,1,45,0
超市便利店,超市,,南京,0,575,10,0,46,1
超市便利店,便利店,,北京,NaN,322,6,NaN,47,1
超市便利店,超市,,绍兴,NaN,516,18,NaN,48,0
超市便利店,超市,,南通,0,253,19,3,49,1
美食,烘焙糕点,面包,上海,0,93,14,3,50,2
美食,快餐,中式快餐,北京,3,659,12,2,51,2
美食,休闲茶饮,奶茶,绍兴,2,192,7,3,52,0
超市便利店,便利店,,杭州,NaN,264,2,NaN,53,1
超市便利店,超市,,武汉,0,423,9,0,54,1
美食,快餐,西式快餐,上海,8,357,10,3,55,2
美食,快餐,西式快餐,成都,6,55,14,3,56,2
美食,快餐,西式快餐,上海,8,229,14,2,57,2
超市便利店,超市,,杭州,2,1093,19,3,58,1
超市便利店,便利店,,上海,NaN,229,4,NaN,59,1
美食,烘焙糕点,面包,成都,5,730,8,3,60,2
美食,小吃,面点,厦门,1,203,4,3,61,0
美食,快餐,西式快餐,盐城,7,872,15,3,62,2
超市便利店,超市,,温州,NaN,158,17,NaN,63,0
美食,休闲茶饮,冰激凌,成都,6,197,1,4,64,0
超市便利店,超市,,上海,NaN,731,20,NaN,65,1
超市便利店,便利店,,宁波,0,58,2,1,66,1
美食,小吃,面点,南京,2,297,7,1,67,0
超市便利店,便利店,,广州,NaN,490,3,NaN,68,1
休闲娱乐,网吧网咖,,南京,1,422,14,3,69,0
美食,烘焙糕点,蛋糕,北京,2,667,15,4,70,2
美食,烘焙糕点,面包,北京,2,761,9,3,71,1
超市便利店,超市,,广州,0,552,17,4,72,1
超市便利店,超市,,苏州,NaN,780,16,NaN,73,0
美食,快餐,其它快餐,上海,1,898,12,1,74,0
美食,休闲茶饮,奶茶,济南,1,1104,1,4,75,0
美食,烘焙糕点,面包,厦门,1,687,19,3,76,0
美食,休闲茶饮,咖啡厅,宁波,2,429,17,1,77,0
美食,快餐,中式快餐,上海,1,699,8,1,78,0
美食,快餐,中式快餐,上海,3,1033,15,2,79,1
超市便利店,超市,,金华,NaN,874,17,NaN,80,0
美食,休闲食品,生鲜水果,上海,0,943,3,3,81,0
美食,中餐,粤菜,广州,4,47,6,1,82,1
美食,快餐,西式快餐,无锡,5,180,12,3,83,1
美食,烘焙糕点,面包,上海,3,697,11,3,84,0
美食,快餐,西式快餐,苏州,5,138,12,3,85,2
超市便利店,超市,,成都,0,910,19,3,86,1
美食,快餐,中式快餐,福州,1,122,5,2,87,0
美食,快餐,西式快餐,温州,13,665,13,3,88,2
超市便利店,超市,,重庆,0,754,17,4,89,1
美食,烘焙糕点,面包,上海,6,507,15,3,90,2
超市便利店,超市,,福州,NaN,930,18,NaN,91,0
超市便利店,超市,,成都,0,818,19,4,92,1
美食,快餐,中式快餐,深圳,1,813,5,0,93,0
美食,烘焙糕点,其它烘焙糕点,深圳,1,79,10,3,94,0
美食,小吃,面点,济南,1,682,4,3,95,0
美食,小吃,面点,武汉,2,65,1,3,96,0
美食,休闲食品,生鲜水果,廊坊,0,240,4,3,97,0
美食,快餐,中式快餐,广州,1,587,12,1,98,1
美食,休闲食品,生鲜水果,沈阳,1,692,5,4,99,0
美食,快餐,西式快餐,南京,13,215,8,3,100,2
美食,烧烤,中式烧烤,温州,3,585,5,3,101,0
超市便利店,超市,,杭州,NaN,914,13,NaN,102,0
美食,小吃,其它小吃,北京,1,977,4,1,103,0
美食,快餐,西式快餐,福州,5,939,13,2,104,2
美食,快餐,西式快餐,苏州,7,15,14,3,105,2
超市便利店,便利店,,广州,0,309,2,4,106,0
美食,休闲茶饮,奶茶,杭州,3,1093,7,3,107,0
美食,快餐,西式快餐,上海,3,1010,8,2,108,2
超市便利店,便利店,,金华,NaN,622,11,NaN,109,0
超市便利店,便利店,,北京,NaN,982,7,NaN,110,1
美食,休闲茶饮,饮品/甜点,北京,3,430,9,3,111,2
超市便利店,超市,,珠海,0,204,18,3,112,1
超市便利店,超市,,厦门,NaN,1107,1,NaN,113,0
美食,快餐,西式快餐,上海,15,134,9,3,114,2
美食,快餐,中式快餐,杭州,6,89,6,2,115,0
超市便利店,超市,,杭州,NaN,386,2,NaN,116,0
美食,中餐,江浙菜,杭州,3,523,20,0,117,2
美食,快餐,中式快餐,北京,0,652,8,2,118,0
美食,快餐,西式快餐,保定,2,1087,10,3,119,2
超市便利店,超市,,杭州,NaN,1111,14,NaN,120,0
美食,快餐,中式快餐,上海,3,406,8,3,121,2
美食,快餐,其它快餐,上海,1,572,16,3,122,0
美食,休闲食品,生鲜水果,北京,3,114,10,2,123,0
超市便利店,超市,,杭州,0,1094,17,3,124,1
美食,快餐,西式快餐,大连,3,877,11,4,125,2
美食,小吃,其它小吃,成都,0,112,5,3,126,0
美食,快餐,西式快餐,武汉,3,317,13,1,127,1
美食,其他美食,西餐,温州,1,665,20,2,128,2
超市便利店,超市,,宁波,0,46,20,4,129,1
超市便利店,超市,,南京,0,130,18,4,130,1
美食,休闲食品,生鲜水果,武汉,3,917,15,4,131,0
美食,快餐,西式快餐,柳州,2,768,13,3,132,0
美食,快餐,中式快餐,广州,2,494,10,2,133,0
美食,小吃,其它小吃,宁波,1,764,1,3,134,0
美食,休闲茶饮,奶茶,上海,4,828,7,4,135,0
美食,烘焙糕点,面包,武汉,3,510,10,3,136,2
美食,烘焙糕点,面包,宁波,1,436,15,3,137,0
美食,小吃,面点,上海,4,642,16,1,138,0
美食,快餐,西式快餐,上海,4,244,12,3,139,1
超市便利店,便利店,,北京,NaN,1043,5,NaN,140,1
超市便利店,超市,,北京,NaN,658,17,NaN,141,0
超市便利店,便利店,,杭州,NaN,789,2,NaN,142,1
美食,快餐,中式快餐,北京,2,476,3,2,143,0
美食,休闲茶饮,奶茶,上海,2,1054,5,4,144,0
美食,快餐,西式快餐,台州,5,988,15,2,145,2
超市便利店,超市,,福州,NaN,1075,19,NaN,146,1
超市便利店,便利店,,广州,0,552,3,2,147,1
超市便利店,便利店,,武汉,NaN,737,5,NaN,148,0
美食,小吃,其它小吃,厦门,4,955,3,2,149,0
美食,休闲茶饮,饮品/甜点,厦门,2,1080,12,4,150,0
美食,快餐,西式快餐,上海,3,809,9,2,151,1
美食,休闲食品,零食,武汉,1,557,16,3,152,2
超市便利店,超市,,黄冈,NaN,515,17,NaN,153,1
美食,休闲食品,零食,福州,0,330,1,1,154,0
美食,快餐,西式快餐,江门,7,635,7,3,155,2
超市便利店,超市,,惠州,NaN,334,18,NaN,156,0
美食,快餐,西式快餐,北京,7,1154,14,3,157,2
美食,休闲食品,生鲜水果,温州,2,840,8,3,158,0
美食,快餐,西式快餐,金华,6,595,15,3,159,2
超市便利店,便利店,,上海,0,153,2,4,160,1
美食,小吃,其它小吃,南京,2,832,5,2,161,0
超市便利店,便利店,,广州,0,343,2,3,162,0
超市便利店,超市,,杭州,0,778,17,4,163,0
美食,汤/粥/煲/砂锅/炖菜,砂锅/煲类/炖菜,武汉,1,435,1,3,164,0
美食,休闲茶饮,饮品/甜点,南京,1,680,6,4,165,0
美食,其他美食,日韩料理,北京,4,632,19,3,166,0
美食,小吃,其它小吃,宁波,5,252,1,4,167,0
超市便利店,超市,,杭州,NaN,672,10,NaN,168,0
美食,中餐,西北菜,南京,5,434,20,3,169,0
超市便利店,超市,,天津,0,43,18,4,170,1
美食,快餐,西式快餐,上海,7,709,8,3,171,2
超市便利店,超市,,北京,0,1005,19,4,172,1
超市便利店,超市,,南京,NaN,66,16,NaN,173,1
美食,休闲食品,生鲜水果,温州,3,936,2,4,174,0
超市便利店,超市,,武汉,0,435,18,4,175,1
美食,休闲茶饮,奶茶,常州,3,385,6,3,176,0
美食,快餐,西式快餐,上海,5,415,11,3,177,2
超市便利店,超市,,上海,NaN,630,16,NaN,178,0
美食,快餐,中式快餐,嘉兴,3,1136,10,3,179,2
超市便利店,超市,,苏州,NaN,729,16,NaN,180,0
美食,快餐,西式快餐,黄石,6,529,14,2,181,2
美食,快餐,西式快餐,聊城,2,455,11,3,182,2
美食,快餐,西式快餐,北京,12,42,9,3,183,2
美食,中餐,其它地方菜,北京,2,464,17,2,184,0
美食,休闲食品,其它休闲食品,广州,3,522,9,2,185,0
美食,快餐,西式快餐,苏州,9,504,13,3,186,2
美食,快餐,西式快餐,惠州,5,83,8,2,187,2
美食,休闲茶饮,饮品/甜点,苏州,3,990,9,4,188,2
超市便利店,超市,,无锡,NaN,984,17,NaN,189,1
美食,快餐,西式快餐,深圳,4,734,14,1,190,2
美食,快餐,西式快餐,深圳,4,531,7,3,191,1
美食,快餐,西式快餐,东莞,4,858,14,2,192,2
美食,快餐,西式快餐,西安,9,1070,13,3,193,2
美食,休闲茶饮,奶茶,上海,1,1032,5,3,194,0
美食,其他美食,西餐,孝感,4,98,19,1,195,2
美食,快餐,西式快餐,深圳,3,407,15,1,196,2
美食,烘焙糕点,面包,绍兴,2,1063,9,3,197,0
美食,快餐,中式快餐,南京,1,399,8,1,198,0
超市便利店,超市,,苏州,NaN,1034,15,NaN,199,0
美食,快餐,西式快餐,上海,9,478,16,1,200,2
美食,小吃,其它小吃,南京,0,1053,4,3,201,0
美食,休闲食品,生鲜水果,厦门,1,1107,1,2,202,0
超市便利店,超市,,上海,NaN,356,18,NaN,203,1
美食,快餐,西式快餐,佛山,3,738,10,3,204,2
美食,烘焙糕点,蛋糕,杭州,2,280,9,4,205,1
美食,中餐,粤菜,南宁,1,353,20,1,206,2
美食,中餐,川菜,北京,5,396,17,3,207,2
超市便利店,超市,,北京,NaN,580,17,NaN,208,0
美食,休闲茶饮,饮品/甜点,常州,3,743,11,3,209,2
美食,小吃,其它小吃,武汉,7,788,14,3,210,2
美食,快餐,西式快餐,深圳,9,966,12,2,211,2
美食,中餐,江浙菜,南通,1,995,20,1,212,0
美食,休闲食品,生鲜水果,温州,2,1058,1,4,213,0
美食,中餐,江浙菜,深圳,1,1109,20,1,214,2
美食,休闲茶饮,奶茶,北京,7,77,4,3,215,0
美食,烘焙糕点,蛋糕,北京,3,376,14,4,216,2
美食,快餐,西式快餐,杭州,20,1092,13,3,217,2
超市便利店,超市,,北京,NaN,1043,2,NaN,218,1
美食,休闲食品,生鲜水果,温州,1,236,11,3,219,0
美食,中餐,川菜,杭州,2,378,20,3,220,0
美食,烘焙糕点,面包,武汉,2,259,13,3,221,0
美食,休闲食品,零食,南昌,1,774,14,0,222,1
美食,火锅,麻辣烫/串串香,武汉,6,198,20,3,223,0
超市便利店,便利店,,温州,0,442,2,2,224,1
美食,快餐,中式快餐,宁波,1,58,9,0,225,0
美食,快餐,中式快餐,广州,7,928,5,2,226,0
美食,休闲茶饮,饮品/甜点,西安,3,708,6,3,227,0
超市便利店,超市,,南京,0,221,13,4,228,1
美食,快餐,西式快餐,佛山,3,881,9,3,229,2
超市便利店,超市,,福州,NaN,607,14,NaN,230,0
超市便利店,超市,,南京,0,212,17,4,231,1
超市便利店,便利店,,温州,0,841,5,3,232,1
美食,烘焙糕点,面包,杭州,6,264,11,3,233,1
美食,快餐,中式快餐,合肥,2,374,5,0,234,0
美食,休闲茶饮,奶茶,合肥,6,775,5,4,235,0
美食,快餐,中式快餐,苏州,2,63,9,2,236,2
美食,烘焙糕点,面包,南宁,1,1137,10,3,237,0
美食,快餐,中式快餐,北京,3,42,20,2,238,0
美食,快餐,西式快餐,宿迁,6,265,16,3,239,2
美食,快餐,西式快餐,上海,10,544,9,3,240,2
美食,烘焙糕点,面包,上海,2,924,11,3,241,2
美食,休闲食品,生鲜水果,宁波,2,58,13,3,242,0
超市便利店,超市,,漳州,NaN,202,18,NaN,243,1
美食,休闲茶饮,奶茶,广州,2,44,2,3,244,0
美食,休闲食品,零食,绍兴,2,219,6,4,245,0
美食,小吃,其它小吃,武汉,1,324,6,2,246,0
医疗健康,药店,,武汉,1,198,20,3,247,0
美食,烘焙糕点,面包,上海,0,1019,10,3,248,1
美食,快餐,中式快餐,宁波,1,166,16,3,249,0
美食,烧烤,中式烧烤,武汉,2,831,20,1,250,0
美食,快餐,中式快餐,北京,2,94,6,3,251,0
美食,快餐,西式快餐,深圳,7,491,13,3,252,2
美食,中餐,海鲜,北京,3,1150,20,3,253,0
美食,休闲茶饮,奶茶,厦门,1,1107,1,4,254,0
美食,快餐,中式快餐,北京,1,538,11,2,255,0
超市便利店,超市,,南宁,0,76,18,3,256,1
超市便利店,便利店,,北京,NaN,129,6,NaN,257,0
美食,快餐,西式快餐,蚌埠,8,159,12,3,258,2
美食,休闲茶饮,饮品/甜点,苏州,3,685,10,3,259,2
美食,快餐,西式快餐,金华,6,923,15,2,260,2
美食,快餐,西式快餐,南宁,8,1137,15,2,261,2
美食,小吃,其它小吃,宁波,3,150,9,3,262,0
超市便利店,便利店,,杭州,NaN,1091,10,NaN,263,1
美食,休闲食品,生鲜水果,杭州,3,521,8,3,264,0
美食,快餐,中式快餐,长沙,3,394,7,2,265,2
美食,快餐,西式快餐,沈阳,5,128,13,3,266,2
美食,快餐,中式快餐,金华,1,267,6,0,267,0
超市便利店,便利店,,深圳,0,531,3,3,268,0
美食,快餐,中式快餐,上海,1,365,9,1,269,0
美食,快餐,中式快餐,广州,10,928,5,3,270,0
美食,快餐,其它快餐,广州,1,488,5,0,271,0
美食,烘焙糕点,面包,杭州,3,280,1,4,272,0
美食,快餐,西式快餐,济南,9,934,13,3,273,2
美食,快餐,中式快餐,深圳,4,733,7,2,274,2
美食,休闲食品,生鲜水果,广州,2,8,4,3,275,0
超市便利店,超市,,上海,NaN,168,19,NaN,276,1
美食,中餐,西北菜,上海,2,1054,20,3,277,2
美食,快餐,西式快餐,广州,14,343,8,3,278,2
美食,快餐,西式快餐,广州,8,228,13,0,279,0
美食,休闲茶饮,饮品/甜点,武汉,2,812,15,3,280,0
美食,快餐,西式快餐,苏州,10,276,13,3,281,2
超市便利店,便利店,,杭州,0,378,3,3,282,1
美食,中餐,海鲜,大连,9,227,20,4,283,0
美食,休闲茶饮,饮品/甜点,上海,0,924,9,3,284,0
美食,快餐,中式快餐,杭州,11,629,14,2,285,2
美食,中餐,江浙菜,温州,1,837,1,2,286,0
美食,快餐,西式快餐,苏州,13,276,15,3,287,2
美食,其他美食,西餐,上海,2,906,18,3,288,1
美食,快餐,中式快餐,深圳,2,1078,9,3,289,0
超市便利店,便利店,,温州,0,141,6,4,290,1
美食,快餐,其它快餐,上海,1,255,11,3,291,0
超市便利店,便利店,,广州,0,57,3,0,292,0
超市便利店,超市,,福州,0,122,17,3,293,1
美食,汤/粥/煲/砂锅/炖菜,砂锅/煲类/炖菜,南京,3,680,8,3,294,0
美食,休闲茶饮,奶茶,南昌,3,848,1,3,295,0
超市便利店,超市,,成都,NaN,845,18,NaN,296,1
美食,休闲食品,生鲜水果,长沙,2,104,2,2,297,0
超市便利店,超市,,西安,NaN,1020,19,NaN,298,1
美食,快餐,中式快餐,杭州,6,884,8,3,299,2
美食,休闲食品,生鲜水果,杭州,1,72,11,3,300,0
超市便利店,便利店,,重庆,0,486,3,1,301,1
美食,快餐,中式快餐,武汉,0,209,1,0,302,0
美食,快餐,西式快餐,西安,5,708,15,3,303,2
美食,快餐,西式快餐,温州,15,969,15,3,304,2
美食,快餐,西式快餐,广州,7,439,8,3,305,2
美食,快餐,中式快餐,深圳,2,847,3,0,306,0
美食,快餐,西式快餐,绍兴,4,1082,14,3,307,2
美食,小吃,米粉/米线,杭州,0,789,12,4,308,0
美食,快餐,中式快餐,青岛,2,645,6,3,309,0
超市便利店,超市,,深圳,NaN,576,17,NaN,310,1
美食,快餐,中式快餐,北京,5,880,5,3,311,2
美食,快餐,中式快餐,嘉兴,5,1149,7,2,312,2
美食,快餐,中式快餐,深圳,3,983,2,0,313,0
美食,休闲茶饮,咖啡,南京,2,399,15,4,314,0
美食,快餐,西式快餐,上海,7,453,11,3,315,2
美食,休闲茶饮,奶茶,杭州,2,681,2,4,316,0
美食,小吃,其它小吃,苏州,1,902,5,2,317,0
美食,中餐,粤菜,南京,4,680,18,3,318,0
美食,小吃,面点,上海,2,640,1,3,319,0
美食,快餐,西式快餐,合肥,19,337,13,2,320,2
美食,快餐,中式快餐,杭州,1,258,10,1,321,0
超市便利店,便利店,,佛山,0,82,3,1,322,0
美食,快餐,西式快餐,南京,10,680,11,3,323,2
美食,休闲食品,生鲜水果,杭州,3,181,10,3,324,0
美食,快餐,西式快餐,天津,6,30,8,4,325,2
美食,火锅,其它火锅,沈阳,2,929,20,3,326,0
美食,小吃,面点,上海,1,924,17,2,327,1
美食,烘焙糕点,蛋糕,杭州,5,146,12,4,328,2
超市便利店,便利店,,青岛,0,940,5,3,329,1
美食,其他美食,日韩料理,南京,1,680,18,3,330,0
美食,快餐,中式快餐,武汉,1,277,1,0,331,0
美食,快餐,西式快餐,泰州,7,785,12,3,332,2
美食,烘焙糕点,蛋糕,上海,1,609,12,3,333,1
美食,休闲食品,生鲜水果,杭州,1,827,2,3,334,0
美食,快餐,中式快餐,广州,7,47,5,2,335,2
美食,火锅,其它火锅,上海,4,478,19,1,336,0
美食,快餐,西式快餐,佛山,8,559,10,2,337,2
超市便利店,超市,,上海,0,1013,19,2,338,1
美食,休闲茶饮,咖啡厅,济南,3,38,17,4,339,0
美食,休闲食品,生鲜水果,杭州,1,760,18,4,340,0
美食,快餐,西式快餐,宁波,11,133,14,3,341,2
美食,小吃,其它小吃,南京,2,680,2,4,342,0
美食,快餐,西式快餐,佛山,5,536,9,3,343,2
美食,快餐,西式快餐,广州,8,711,8,3,344,2
美食,快餐,西式快餐,丽水,6,432,14,3,345,2
超市便利店,便利店,,温州,0,837,3,4,346,1
美食,快餐,西式快餐,邯郸,3,604,7,3,347,2
超市便利店,超市,,北京,0,540,19,4,348,1
超市便利店,超市,,合肥,NaN,599,12,NaN,349,0
超市便利店,便利店,,北京,NaN,113,6,NaN,350,1
美食,烘焙糕点,面包,南京,2,215,6,3,351,0
超市便利店,便利店,,北京,NaN,139,2,NaN,352,0
美食,小吃,其它小吃,北京,1,538,15,4,353,0
超市便利店,超市,,温州,NaN,1014,14,NaN,354,0
美食,小吃,其它小吃,南京,2,172,7,3,355,0
美食,快餐,西式快餐,广州,9,67,11,2,356,2
超市便利店,超市,,南京,NaN,96,6,NaN,357,0
美食,快餐,西式快餐,上海,4,642,11,3,358,2
美食,快餐,西式快餐,南通,8,187,13,3,359,2
超市便利店,超市,,天津,0,612,18,3,360,1
美食,快餐,中式快餐,南京,2,399,4,2,361,0
美食,快餐,中式快餐,济南,5,69,3,3,362,1
超市便利店,超市,,武汉,0,277,9,4,363,1
美食,中餐,江浙菜,佛山,4,82,20,0,364,0
美食,快餐,西式快餐,广州,4,577,13,2,365,2
美食,休闲食品,其它休闲食品,常州,1,390,3,2,366,0
医疗健康,药店,,上海,1,1119,16,1,367,0
美食,快餐,中式快餐,武汉,0,209,1,0,368,0
美食,快餐,西式快餐,南宁,6,484,10,3,369,2
美食,休闲茶饮,饮品/甜点,上海,8,809,8,3,370,2
超市便利店,超市,,泉州,NaN,1035,20,NaN,371,0
超市便利店,超市,,无锡,NaN,1050,19,NaN,372,0
美食,快餐,西式快餐,贵阳,2,783,11,3,373,2
美食,休闲茶饮,奶茶,武汉,2,290,1,4,374,0
美食,小吃,其它小吃,咸宁,3,320,16,2,375,2
美食,快餐,西式快餐,青岛,3,869,13,3,376,2
超市便利店,便利店,,福州,0,1075,3,4,377,1
美食,快餐,中式快餐,南京,4,669,10,3,378,2
美食,中餐,粤菜,杭州,2,523,20,1,379,0
美食,快餐,西式快餐,绍兴,13,426,14,3,380,2
美食,休闲食品,生鲜水果,杭州,1,303,16,2,381,2
美食,休闲食品,生鲜水果,杭州,3,849,15,3,382,2
美食,快餐,中式快餐,杭州,3,897,5,4,383,0
美食,中餐,粤菜,上海,1,642,19,2,384,0
美食,快餐,西式快餐,福州,2,578,13,1,385,1
美食,快餐,西式快餐,上海,7,781,10,3,386,2
美食,快餐,西式快餐,杭州,2,1091,13,3,387,0
美食,烘焙糕点,面包,北京,3,1038,13,3,388,0
美食,快餐,中式快餐,上海,0,779,5,3,389,0
美食,休闲茶饮,奶茶,北京,3,534,4,3,390,0
美食,快餐,西式快餐,上海,9,1036,15,2,391,2
超市便利店,便利店,,北京,NaN,160,6,NaN,392,1
超市便利店,超市,,深圳,0,1052,18,2,393,1
美食,休闲茶饮,奶茶,徐州,4,689,2,3,394,0
美食,快餐,西式快餐,上海,6,662,10,3,395,2
美食,其他美食,其他餐饮美食,杭州,3,1120,16,4,396,0
美食,烘焙糕点,面包,上海,2,356,15,3,397,1
美食,快餐,西式快餐,北京,3,376,9,3,398,2
美食,快餐,西式快餐,常州,11,743,16,3,399,2
超市便利店,超市,,泉州,NaN,965,15,NaN,400,0
美食,休闲食品,零食,长沙,0,811,14,1,401,0
美食,休闲茶饮,饮品/甜点,上海,6,679,8,3,402,2
美食,中餐,川菜,成都,5,730,20,2,403,0
美食,快餐,西式快餐,上海,7,191,13,3,404,2
超市便利店,便利店,,成都,0,732,4,2,405,0
美食,快餐,中式快餐,杭州,1,485,2,3,406,0
美食,烘焙糕点,面包,上海,6,976,12,3,407,2
超市便利店,超市,,贵阳,NaN,666,20,NaN,408,1
超市便利店,超市,,武汉,0,1027,10,0,409,1
美食,休闲茶饮,奶茶,温州,1,100,2,3,410,0
美食,小吃,其它小吃,南京,1,399,5,3,411,0
美食,中餐,西北菜,广州,1,29,15,2,412,0
美食,快餐,中式快餐,北京,4,574,12,2,413,0
超市便利店,超市,,福州,0,702,19,4,414,1
美食,小吃,面点,上海,0,924,5,1,415,0
美食,其他美食,西餐,深圳,3,1052,19,3,416,0
美食,快餐,西式快餐,辽阳,4,1056,13,4,417,2
美食,快餐,西式快餐,常州,9,570,14,3,418,2
美食,快餐,西式快餐,广州,2,686,16,3,419,2
超市便利店,便利店,,广州,0,327,3,4,420,1
美食,烧烤,中式烧烤,绍兴,2,214,20,1,421,2
美食,休闲食品,生鲜水果,长沙,6,1012,16,3,422,1
美食,休闲茶饮,奶茶,武汉,3,1128,4,3,423,0
超市便利店,超市,,广州,0,465,16,1,424,1
美食,中餐,西北菜,上海,4,809,19,3,425,0
美食,小吃,其它小吃,上海,2,229,16,2,426,0
美食,其他美食,日韩料理,上海,2,642,20,3,427,0
美食,休闲茶饮,饮品/甜点,厦门,1,1103,2,2,428,0
美食,快餐,西式快餐,株洲,4,6,14,3,429,2
超市便利店,便利店,,深圳,NaN,195,5,NaN,430,0
美食,快餐,西式快餐,东莞,5,913,9,2,431,2
美食,休闲茶饮,饮品/甜点,沈阳,2,952,16,3,432,0
超市便利店,超市,,深圳,0,733,10,2,433,1
美食,中餐,湖北菜,武汉,0,269,20,1,434,0
超市便利店,超市,,合肥,NaN,99,19,NaN,435,1
美食,快餐,西式快餐,武汉,9,608,8,3,436,2
美食,快餐,中式快餐,深圳,1,562,8,0,437,0
休闲娱乐,网吧网咖,,杭州,0,1120,12,3,438,0
美食,中餐,江浙菜,金华,2,45,12,1,439,0
超市便利店,便利店,,杭州,NaN,131,6,NaN,440,0
超市便利店,超市,,上海,0,427,19,3,441,1
美食,快餐,西式快餐,天津,8,1123,11,3,442,2
美食,火锅,麻辣烫/串串香,上海,1,1061,13,2,443,0
美食,休闲食品,生鲜水果,无锡,1,177,15,3,444,0
美食,其他美食,其他餐饮美食,武汉,1,37,7,2,445,0
超市便利店,超市,,荆州,0,482,18,4,446,1
美食,快餐,中式快餐,广州,5,552,5,1,447,2
超市便利店,便利店,,北京,NaN,916,6,NaN,448,1
美食,休闲茶饮,冰激凌,温州,1,1129,17,3,449,0
超市便利店,超市,,无锡,NaN,782,14,NaN,450,0
美食,火锅,川味/重庆火锅,杭州,6,405,20,4,451,2
超市便利店,超市,,杭州,NaN,756,7,NaN,452,0
美食,快餐,其它快餐,上海,2,830,15,3,453,0
超市便利店,便利店,,广州,0,1124,2,4,454,0
美食,休闲食品,生鲜水果,杭州,6,264,17,3,455,2
美食,快餐,西式快餐,广州,5,257,7,2,456,2
美食,其他美食,日韩料理,杭州,1,250,7,3,457,0
美食,快餐,西式快餐,济南,8,767,14,2,458,2
美食,其他美食,自助餐,南京,2,673,20,1,459,0
美食,中餐,其它地方菜,杭州,2,261,4,2,460,0
美食,烘焙糕点,面包,北京,0,86,15,3,461,1
美食,快餐,西式快餐,济南,4,23,8,3,462,2
超市便利店,超市,,武汉,NaN,861,16,NaN,463,0
美食,快餐,西式快餐,北京,4,696,10,3,464,2
超市便利店,超市,,上海,0,346,19,3,465,1
美食,休闲茶饮,饮品/甜点,武汉,3,1007,18,3,466,0
超市便利店,超市,,泉州,NaN,965,17,NaN,467,1
美食,快餐,西式快餐,广州,7,757,13,3,468,2
美食,快餐,中式快餐,北京,1,696,5,3,469,0
美食,小吃,其它小吃,上海,1,639,6,4,470,0
美食,休闲食品,美食特产,南京,1,399,10,3,471,0
美食,快餐,西式快餐,南京,12,377,9,4,472,2
美食,快餐,中式快餐,北京,0,916,5,2,473,0
